nummer,text_id,auteurva,titel,jaarnr,genre,oorspr_auteur_va,drukkerva,plaats_van_uitgave
Ceneton007870,48,Jan Barentsz,"Klucht van Buchelioen, ’t kaboutermannetge.",1655,Kluchtspel,,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton007890,49,Johan Zacharias Baron,"Klucht van Kees Louwen, ofte: den gheschooren boer.",1667,Kluchtspel,,Bartholomeus van Hogenacker,Leiden
Ceneton007900,900,Johan Zacharias Baron,"Kees Louwen, alias den geschoren boer, nevens het byvoegsel van den vermakelijcken Leytze klapperman.",1679,Kluchtspel,,Johannes Kellenaer,Leiden
Ceneton007910,900,Johan Zacharias Baron,Den vermakelijcken Leytze klapperman.,1679,Tafelspel,,Johannes Kellenaer,Leiden
Ceneton007930,901,Johan Zacharias Baron,Lichthart en Aers-gat Sonder-sorgh / Vastelavents vreucht.,1653,Kluchtspel,,Willem Christiaens van der Boxe,Leiden
Ceneton008340,54,Joris Berckmans,Alphonsius en Iennevera.,1639,,,Jacob Mesens,Antwerpen
Ceneton008480,55,Joris Berckmans,[Ioseph].,1647,,,Jacob Mesens,Antwerpen
Ceneton008560,57,Adriaen van den Bergh,"Don Jeronimo, marschalck van Spanjen.",1638,Treurspel,Thomas Kyd,Joost Hartgers,Amsterdam
Ceneton008660,56,Adriaen van den Bergh,Jeronimo.,1621,Treurspel,Thomas Kyd,Jan Amelisz,Utrecht
Ceneton008770,61,Pieter Bernagie,De belachchelyke jonker.,1684,Kluchtspel,,Albert Magnus,Amsterdam
Ceneton008820,62,Pieter Bernagie,De belachchelyke jonker.,1781,Kluchtspel,,Jan Helders,Amsterdam
Ceneton008930,59,Pieter Bernagie,Het huwelyk sluyten.,1685,Blijspel,,Albert Magnus,Amsterdam
Ceneton008970,60,Pieter Bernagie,De huwelyken staat.,1684,Kluchtspel,,Albert Magnus,Amsterdam
Ceneton009120,64,Pieter Bernagie,"De ontrouwe kantoorknecht, en lichtvaerdige dienstmaagd.",1685,Kluchtspel,,Albert Magnus,Amsterdam
Ceneton009200,902,Pieter Bernagie,De románzieke juffer.,1685,Kluchtspel,,Albert Magnus,Amsterdam
Ceneton009310,65,Marten Frank Besteben,De ’tsamensweringe Catalinae.,1647,,,Ms,
Ceneton009500,66,Govert Bidloo,Fabius Severus.,1680,Treurspel,,Erven Jacob Lescailje,Amsterdam
Ceneton009560,67,Govert Bidloo,"Karel, erf-prins van Spanje.",1679,Treurspel,,Jacob Lescailje,Amsterdam
Ceneton009700,68,Govert Bidloo,De prachtige minnaars.,1719,Blijspel,Jean Baptiste Poquelin Molière,Johan Arnold Langerak,Leiden
Ceneton009720,69,Govert Bidloo,"Vertooningspel op de Vreede, geslooten den 10den van Oegstmaant des jaars 1678 tussen Zijn Alderchrist. Maj: den koning van Vrankrijk, en de Hoog Mog. Heeren Staten der Vereenigde Nederlanden enz.",1678,Vertoningspel,,Anthony Lescailje,Amsterdam
Ceneton009860,903,Cornelis de Bie,"Alphonsus en Thebasile, oft her-stelde onnooselheydt.",1673,Blij-eindend treurspel,Félix Lope de Vega y Carpio,Jacob Mesens,Antwerpen
Ceneton009870,904,Cornelis de Bie,"Armoede vanden graeve Florellus, oft lyden sonder wraeck, vertaelt uyt Lope de Vega, ghenoemt la Pobreza de Reynaldos [...]",1671,Treurspel,Félix Lope de Vega y Carpio,Gerardus van Wolsschaten,Antwerpen
Ceneton010290,908,Cornelis de Bie,"Klucht van Roelandt den Clapper, geseyt Hablador Roelando.",1673,Kluchtspel,Miguel de Cervantes Saavedra,Gerardus van Wolsschaten,Antwerpen
Ceneton010300,206,Cornelis de Bie,"Vermakelycke klucht van Roelant den Klapper, oft Hablador Roelando.",1702,Kluchtspel,Miguel de Cervantes Saavedra,Henri Thieullier,Antwerpen
Ceneton010460,73,Cornelis Pietersz Biens,Piramus en Thisbe.,1623,Treurspel,,Jan Jacobsz Palensteyn,Enkhuizen
Ceneton010690,74,Willem Bilderdijk,De dood van Edipus.,1789,Treurspel,Sophocles,Pieter Johannes Uylenbroek,Amsterdam
Ceneton010860,76,Johan Blasius,De edelmoedige vyanden.,1659,Blijspel,"Paul Scarron, naar Francisco de Rojas Zorilla",Jacob Lescailje,Amsterdam
Ceneton010890,78,Johan Blasius,Het huwlyk van Oroondate en Statira.,1670,Blij-eindend treurspel,Gabriel Gilbert,Jacob Lescailje,Amsterdam
Ceneton010980,77,Johan Blasius,De malle wedding.,1671,Blijspel,François le Métel de Boisrobert,Jacob Lescailje,Amsterdam
Ceneton011110,79,Pieter Boddaert jr.,Macbeth.,1800,Treurspel,Jean-François Ducis / William Shakespeare,Wed. Jan Dóll,Amsterdam
Ceneton011270,82,Adriaan Boelens,De bedrooge Vryer.,1649,Kluchtspel,,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton011280,905,Adriaan Boelens,De bedrooge Vryer.,1672,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton011290,80,Adriaan Boelens,Den glasen doctoor.,1663,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton011330,81,Adriaan Boelens,De klucht van de oneenige-trouw.,1648,Kluchtspel,,Adam Karelsz van Germez,Amsterdam
Ceneton011380,85,Abraham Bogaert,Alexander de Groote.,1693,Treurspel,Jean Baptiste Racine,Erven Jacob Lescailje,Amsterdam
Ceneton011420,86,Abraham Bogaert,De gewaande droes.,1711,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton011422,87,Abraham Bogaert,De gewaande droes.,1711,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton011470,88,Abraham Bogaert,De pleiters.,1695,Blijspel,Jean Baptiste Racine,Albert Magnus,Amsterdam
Ceneton011560,105,Anthonie Bogaert,’t Nieuwsgierige Aegje.,1679,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton011630,89,Joan Boltingh,Mr. Tiribus.,1665,Kluchtspel,,Jacob (I) Konijnenbergh,Amsterdam
Ceneton011660,90,Reinier Bontius,"Belegering ende het ontset der stadt Leyden, geschiedt inden Jare 1574. Beginnende den 27. May ende eyndigde den derde Octobris, seer levendigh Afgebeeldt door Reinerius Bontius.",1645,Toneelspel,,"Carel Wernerusz. van Tuernhout, voor Gijsbert (Gijsbrecht) de Wit",Leiden
Ceneton011670,91,Reinier Bontius,"Belegering ende het ontset der stadt Leyden. Geschiet in den jare 1574. beginnende den 27 May, ende eyndighde den derden Octobris, seer levendich afgebeelt door Reynerius Bontius.",1646,Blij-eindend treurspel,,"Jacob Tinnekens, voor Gijsbert (Gijsbrecht) de Wit",Leiden
Ceneton011680,92,Reinier Bontius,"Belegering ende ontsetting der stadt Leyden. Geschiet in den jare 1574. beginnende den 27 May, ende eyndighde den derden Octobris daer aen volghende. Seer levendich afgebeelt door Reynerius Bontius.",1647,Blij-eindend treurspel,,"Willem Christiaens van der Boxe, voor Daniel Burghoorn",Leiden
Ceneton011730,93,Reinier Bontius,"Belegering ende ontsetting der stadt Leyden. Geschiedt in den jare 1574. beginnende den 27. May, ende eyndighende den 3. Oct., daer aen volgende.",1659,Blij-eindend treurspel,,Daniel Burghoorn,Leiden
Ceneton011740,94,Reinier Bontius,"Beleg en ontset der stadt Leyden. [...] alles nae ’t leven ver-beelt, in Valckenburg, den 5. 6. en volgende daegen van September, 1659.",1659,Blij-eindend treurspel,,Jan Zachariasz. Baron,Leiden
Ceneton012180,95,Reinier Bontius,"Belegering, en ontsetting der stad Leyden, geschied in den jare 1547. (sic.) beginnende den 27. May, en eyndigende den 3. Oct. daer aen volgende.",1720,Blij-eindend treurspel,,"Erfg. van de wed. Gysbert de Groot, en Anthonie van Dam",Amsterdam
Ceneton012230,96,Reinier Bontius,Beleg en ontzet der stad Leiden.,1729,Blij-eindend treurspel,,Erven Jacob Lescailje en Dirk Rank,Amsterdam
Ceneton012350,906,Reinier Bontius,"Belegering en ontsetting der stadt Leyden, geschiet in den jare 1574. beginnende den 27. May, en eyndigende den 3. Oct. daer aen volgende.",1735,Blij-eindend treurspel,,"Abraham (II) van der Putte, voor Isaak van der Putte",Amsterdam
Ceneton012380,97,Reinier Bontius,Beleg en ontzet der stad Leiden.,1736,Blij-eindend treurspel,,Hendrik (I) Walpot,Dordrecht
Ceneton012480,98,Reinier Bontius,Belegering en ontsetting der stadt Leiden.,1750,Blij-eindend treurspel,,Robertus Oudemeyer,Utrecht
Ceneton012740,99,Reinier Bontius,"Belegering en ontzetting der stad Leyden, voorgevallen in den jare vyftien honderd vier-en-zeventig, beginnende den zeven-en-twintigste Mey, en eindigende de derde October daar aan volgende.",1821,Blij-eindend treurspel,,B. Koene,Amsterdam
Ceneton012750,100,Reinier Bontius,"Belegering en Ontzetting der stad Leyden, geschied in den jaare 1554 (sic.). Beginnende den 27 Mey, en eindigende den 3 October daar aan volgende.",1821,Blij-eindend treurspel,,Johannes Scheffers,Rotterdam
Ceneton012800,103,Cornelis Boon van Engelant,Amintas.,1722,Herdersspel,Torquato Tasso,Reinier Boitet,Delft
Ceneton012910,104,Cornelis Boon van Engelant,Leiden verlost.,1711,Treurspel,,Pieter de Vries,Rotterdam
Ceneton013140,106,Abraham Bormeester,Doeden.,1643,Kluchtspel,Giovanni Boccaccio,"Voor de auteur, door Cornelis Willemsz Blaeu-laken",Amsterdam
Ceneton013160,107,Abraham Bormeester,"Infidelitas, ofte ontrouwe dienstmaagt.",1644,Kluchtspel,,Cornelis Willemsz Blaeu-laken,Amsterdam
Ceneton013220,105,Abraham Bormeester,’t Nieuwsgierig Aegje.,1664,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton013250,108,Abraham Bormeester,Sijtje Fobers.,1643,Kluchtspel,,Cornelis Willemsz Blaeu-laken,Amsterdam
Ceneton013260,109,Abraham Bormeester,Zijtje Fobers.,1647,Kluchtspel,,"Tymon Houthaeck, voor Dirck Cornelisz Houthaeck",Amsterdam
Ceneton013340,110,Lambert van den Bos,L.A. Senecas Agamemnon,1661,Treurspel,Lucius Annaeus Seneca,Gillis Neeringh,Dordrecht
Ceneton013360,112,Lambert van den Bos,Catilina.,1669,Treurspel,,Geemen van Cappel,Dordrecht
Ceneton013390,113,Lambert van den Bos,"Roode en witte roos, of Lankaster en Jork.",1651,Blij-eindend treurspel,,"Tymon Houthaeck, voor Dirck Cornelisz Houthaeck",Amsterdam
Ceneton013450,115,Jurriaen Bouckart (de Boccard),De ballingschap van Scipio Afrikanus.,1658,Treurspel,,Jacob Lescailje,Amsterdam
Ceneton013480,114,Jurriaen Bouckart (de Boccard),De nederlaagh van Hanibal.,1653,Treurspel,,Paulus Matthijsz,Amsterdam
Ceneton013630,116,Pieter van Braam,Mariamne.,1774,Treurspel,Voltaire (ps. van François-Marie Arouet),Pieter van Braam,Dordrecht
Ceneton013830,117,Bernardus Brandt,De bekeering van Augustinus of spiegel van Gods Voorsienigheid.,1680,Blij-eindend treurspel,,Ms,
Ceneton013880,118,Geeraert Brandt,De veinzende Torquatus.,1645,Treurspel,,"Jacob Lescailje, voor Abraham de (I) Wees",Amsterdam
Ceneton014070,215,Michiel van Breda [of Pieter de la Croix?],"Lubbert Lubbertze, of de geadelde boer.",1686,Blijspel,Jean Baptiste Poquelin Molière,Albert Magnus,Amsterdam
Ceneton014110,216,Michiel van Breda [of Pieter de la Croix?],"Lubbert Lubbertze, of de geadelde boer.",1753,Blijspel,Jean Baptiste Poquelin Molière,Izaak Duim,Amsterdam
Ceneton014230,121,Gerbrand Adriaensz. Bredero,Griane.,1616,Blij-eindend treurspel,,"Paulus Aertsz van Ravesteyn, voor Cornelis Lodewijcksz van der Plasse",Amsterdam
Ceneton014290,122,Gerbrand Adriaensz. Bredero,Hoochduytschen quacksalver. ,1619,Kluchtspel,,Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton014390,119,Gerbrand Adriaensz. Bredero,Een huys-man en een barbier.,1622,Kluchtspel,,Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton014450,123,Gerbrand Adriaensz. Bredero,Over-gesette Lucelle.,1616,Blij-eindend treurspel,Louis Le Jars,"Paulus Aertsz van Ravesteyn, voor Cornelis Lodewijcksz van der Plasse",Amsterdam
Ceneton014550,122,Gerbrand Adriaensz. Bredero,Meulenaer.,1619,Kluchtspel,,Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton014750,124,Gerbrand Adriaensz. Bredero,Rodd’rick ende Alphonsvs.,1616,Treurspel,,"Nicolaes (III) Biestkens, voor Cornelis Lodewijcksz van der Plasse",Amsterdam
Ceneton014860,120,Gerbrand Adriaensz. Bredero,Spaanschen Brabander Jerolimo.,1618,Blijspel,,Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton015140,122,Gerbrand Adriaensz. Bredero,Symen sonder soeticheyt.,1619,Kluchtspel,,Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton015260,122,Gerbrand Adriaensz. Bredero,Van de koe.,1619,Kluchtspel,,Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton015460,126,Joost van Breen,Bedroge jalouzy.,1659,Kluchtspel,Giovanni Boccaccio,Jacob Lescailje,Amsterdam
Ceneton015480,127,Joost van Breen,"Klucht van Jean de la Roy, of d’ingebeelde rijke.",1665,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton015490,128,Joost van Breen,De klucht van ’t kalf.,1656,Kluchtspel,,Jacobus vanden Bergh,Amsterdam
Ceneton015520,129,Joost van Breen,De swarte minnaers.,1748,Kluchtspel,,Voor de liefhebbers,Zonder plaats
Ceneton015530,125,Joost van Breen,Ziende blindeman.,1748,Kluchtspel,,Johannes Smit,Amsterdam
Ceneton015690,131,Gerrit Hendricxsz van Breughel,"Tafelspel van vier personagien, als Bouwen en Pleun, met Gobbert haren sone, die met Coten spelende, een wijf crijcht, trou met eenen Pepercoeck Geyltgen.",1610,Tafelspel,,"Gerrit Hendricxsz van Breughel, voor Willem Adriaenssz Ockers",Amsterdam
Ceneton015710,131,Gerrit Hendricxsz van Breughel,Een cluchte van eenen cramer hebbende te coop veelderley drollige liedekens.,1610,Kluchtspel,,"Gerrit Hendricxsz van Breughel, voor Willem Adriaenssz Ockers",Amsterdam
Ceneton015730,131,Gerrit Hendricxsz van Breughel,"Tafel-spel van een personagie, wesende eenen droncken boer die wt vryen gaet.",1612,Tafelspel,,Gerrit Hendricxsz van Breughel,Amsterdam
Ceneton015740,131,Gerrit Hendricxsz van Breughel,"Tafelspel van een personagie, een droncken boer, die door dromen nuchteren wort.",1610,Tafelspel,,"Gerrit Hendricxsz van Breughel, voor Willem Adriaenssz Ockers",Amsterdam
Ceneton015760,131,Gerrit Hendricxsz van Breughel,"Tafel-spel van twee gehoude jonghe luyden aengaende de houwelijcken staet, genaemt Jan ende Claer.",1612,Kluchtspel,,Gerrit Hendricxsz van Breughel,Amsterdam
Ceneton015770,131,Gerrit Hendricxsz van Breughel,Tafel-spel van eenen Quacksalver.,1612,Tafelspel,,Gerrit Hendricxsz van Breughel,Amsterdam
Ceneton015780,131,Gerrit Hendricxsz van Breughel,"Een cluchte van d’een ende d’ander twee soldaten, eenen ouden boer, met een jonghe boerin zijn wijf, ende een aerdighe weerdin.",1610,Kluchtspel,,"Gerrit Hendricxsz van Breughel, voor Willem Adriaenssz Ockers",Amsterdam
Ceneton015800,131,Gerrit Hendricxsz van Breughel,"Waech-dragher Kees, ende Marrij zijn Wyf.",1612,Tafelspel,,Gerrit Hendricxsz van Breughel,Amsterdam
Ceneton015950,134,H. Brouwer,Het belegh van Leyden,1683,Treurspel,,,Amsterdam
Ceneton016700,151,Hendrick de Bruyn-beeck,"Een klucht, van de Vyaensche reys.",1649,Kluchtspel,,Hans Fabel,Amsterdam
Ceneton016760,152,Willem van Bruyningen,"Vlaemsche klucht: van sinjoor Jakus Smul, hoe dat hij wert verraen, en met sijn blote neers moest in de spinde staen. En hoe Kallijn Flep-muts van hem wiert uytgestreken, ende aen Joos (haer man) haer voet van ’t bed moet steken.",1645,Kluchtspel,,Joost Broersz,Amsterdam
Ceneton016770,39,A. van Bulderen,Het school van de mannen.,1678,Kluchtspel,Jean Baptiste Poquelin Molière,Willem Eyckmans,’s-Gravenhage
Ceneton016790,386,H. van Bulderen,"De verkogte trou, of bedroge dienstmaegt.",1716,Kluchtspel,,Fictief: “Gedrukt in het Paleys van Venus met konsent van Cupido”,Zonder plaats
Ceneton016830,153,Isaac Jacobsz. Burchoorn,Bataviersche mey-spel.,1632,Zinnespel,,Isaac Burghoorn,’s-Gravenhage
Ceneton016850,154,Hermanus van den Burg,De gehorende schout.,1712,Kluchtspel,,Marcelis van Heems,Amsterdam
Ceneton016880,155,Petrus Burman,De geleerde vrouwen.,1713,Blijspel,Jean Baptiste Poquelin Molière,Gerret van Leeuwen,Tiel
Ceneton016900,163,Dirck Buysero,De aerdige bedriegeryen van Schapin.,1675,Blijspel,Jean Baptiste Poquelin Molière,Levijn (I) van Dijck,’s-Gravenhage
Ceneton016930,156,Dirck Buysero,Amphitrvo.,1679,Blijspel,Titus Maccius Plautus en Jean Baptiste Poquelin Molière,Jacob Lescailje,Amsterdam
Ceneton016940,157,Dirck Buysero,Amphitruo.,1680,Blijspel,Titus Maccius Plautus en Jean Baptiste Poquelin Molière,Erven Jacob Lescailje,Amsterdam
Ceneton016960,158,Dirck Buysero,"Arlekyn, versierde erfgenaam.",1719,Kluchtspel,"Paul Scarron, naar Alonso de Castillo Solórzano",Voor de Leidse en Haagse Schouwburgen,Leiden
Ceneton016970,160,Dirck Buysero (NVA),"Astrate, koning van Tyrus.",1670,Treurspel,Philippe Quinault,Johannes van den Bergh,Amsterdam
Ceneton017080,162,Dirck Buysero,"Pub. Terentii Heautontimorumenos, ofte selfs-qeller [sic]. In Nederduydtsche Rijmen naer ghevolght.",1662,Blijspel,Publius Terentius Afer,Anthony Tongerloo,’s-Gravenhage
Ceneton017170,161,Dirck Buysero,De vryadje van Cloris en Roosje.,1688,Herdersspel,,Erven Jacob Lescailje,Amsterdam
Ceneton017280,409,Dirck Buysero / Jacob van Ryndorp,"Het boere-operaatje, of de bruyloft van Kloris en Roosje.",1712,Kluchtspel,,Pieter de Vries,Rotterdam
Ceneton017440,159,Dirck Buysero ~ of C. Sax,Arlekyn door liefde.,1715,Kluchtspel,,Jacobus Gezelle,’s-Gravenhage
Ceneton017700,197,C.v.B.,Klucht van Lammert met syn neus.,1641,Kluchtspel,,Isaac van Waesberge,Rotterdam
Ceneton017780,166,Maria Geertruida de Cambon - van der Werken,Hamlet.,1778,Treurspel,Jean-François Ducis / William Shakespeare,Jan Hendrik Munnikhuizen,’s-Gravenhage
Ceneton017810,165,Maria Geertruida de Cambon - van der Werken,"Het huwelyk van Figaro, of de dag van de zotheyd.",1786,Blijspel,Pierre Augustin Caron de Beaumarchais,"Johannes François Jacobs de Agé, en Poelman en zoon",’s-Gravenhage en Delft
Ceneton017830,167,Maria Geertruida de Cambon - van der Werken,Iphigenia in Tauris.,1771,Treurspel,Claude Guymond de la Touche,Henri Constapel,’s-Gravenhage
Ceneton017910,168,Maria Geertruida de Cambon - van der Werken,Oedipus aan het hof van Admetus.,1790,Treurspel,Jean François Ducis,Johannes François Jacobs de Agé,’s-Gravenhage
Ceneton018510,169,F. Henricus Canisius,"Prae-nobili, generoso, & amplissimo Domino D. Iacobo de Ryck Toparchae de Claermes, Urbis Lovaniensis Consuli meritissimo, Feliciter finita Bruxellis Lite Vicennali Lovaniensem Communitatem tam cupitâ Victoriâ ad commune gaudium excitanti. Drama inter Lovaniensem Nympham, & duos Genios.",1661,Toneelspel,,Cyprianus Coenestenius,Leuven
Ceneton018530,639,Johannes de Canjoncle,Brittannicus.,1693,Treurspel,Jean Baptiste Racine,Erven Jacob Lescailje,Amsterdam
Ceneton018540,640,Johannes de Canjoncle,Brittannicus.,1693,Treurspel,Jean Baptiste Racine,Erven Jacob Lescailje,Amsterdam
Ceneton018590,171,Carmelieten van Munsterbilsen,Baasa delens stirpem Jeroboami.,1776,Treurspel,,J.T. van Gulpen,Maastricht
Ceneton018600,171,Carmelieten van Munsterbilsen,Baasa uytroyende het geslacht van Jeroboam.,1776,Treurspel,,J.T. van Gulpen,Maastricht
